MAPE,NSE,MSE,RMSE,experiment
11.046883583068848,0.9257339239120483,35.882022857666016,5.990160503497884,Name1_1911_115956
10.562145233154297,0.9259940385818481,35.7563362121582,5.97966020875419,Name1_1911_120427
11.251394271850586,0.9146746397018433,40.29044723510742,6.347475658488769,Name1_1911_120856
10.451045036315918,0.9261626601219177,35.205413818359375,5.93341502158406,Name1_1911_121419
11.633465766906738,0.9064549803733826,44.601993560791016,6.678472397247069,Name1_1911_122210
10.461284637451172,0.9196220636367798,38.32395935058594,6.190634809984024,Name1_1911_122903
10.840921401977539,0.9205442667007446,37.88426208496094,6.155019259511779,Name1_1911_123327
11.179547309875488,0.9195895195007324,39.49706268310547,6.284668860258707,Name1_1911_123649
11.23167896270752,0.931132972240448,35.07101058959961,5.922078232309973,Name1_1911_123928
10.095257759094238,0.9220325946807861,37.67033767700195,6.1376166120899045,Name1_1911_131827
10.792536735534668,0.919243574142456,39.01786804199219,6.246428422866317,Name1_1911_132229
10.093060493469238,0.9313893914222717,33.14955520629883,5.757565041430173,Name1_1911_132608
9.950844764709473,0.9339156746864319,31.92896270751953,5.650571892076016,Name1_1911_132940
9.48498249053955,0.9315138459205627,32.65398406982422,5.71436646268195,Name1_1911_134029
10.022869110107422,0.9348596334457397,30.78604507446289,5.548517376242314,Name1_1911_135137
9.592146873474121,0.9367449283599854,30.159820556640625,5.491795749719815,Name1_1911_135840
10.168581008911133,0.9317902326583862,32.5222282409668,5.702826337963203,Name1_1911_150400
